type,client,tx,amount
deposit,78,3177385917,198962900000988.3364
withdrawal,33,578781374,-213572777648790.8818
dispute,76,4089277967,
resolve,81,1722379738,
resolve,75,1621752852,
deposit,1,1303732618,-54821127461423.6300
withdrawal,35,4211519855,511105378695756.3348
withdrawal,36,4251649486,664243646258428.6323
dispute,67,1013419759,
withdrawal,6,3772728513,-669093158202272.4743
resolve,11,425694988,
dispute,10,2118969959,
withdrawal,1,2789772407,-469827343426482.5801
resolve,96,575940572,
withdrawal,80,1254106623,571195636018343.8136
resolve,93,1220061459,
withdrawal,64,2479237236,625001917869756.0703
resolve,15,2849456981,
deposit,66,3882115165,-167439621803391.7823
resolve,55,3108321808,
withdrawal,59,2084550819,821480578771185.5272
deposit,81,3596696894,-76736015863816.0200
resolve,97,532665662,
deposit,72,434949887,-37742448194447.1918
dispute,95,2896914457,
resolve,62,341210954,
resolve,52,976644004,
dispute,23,609683946,
deposit,51,3064499063,-661662270260579.6723
deposit,50,2049393265,-586814344750434.6612
dispute,94,2049547073,
deposit,49,3680635946,918530346352399.4503
dispute,83,1912689955,
deposit,66,451160520,918811496440133.6787
deposit,70,1735784962,-727561326977613.7152
withdrawal,29,111473747,-338708110759775.4178
withdrawal,59,1434604133,-336746948980003.0923
withdrawal,42,3430310727,-136142541824313.5394
resolve,34,622602249,
withdrawal,15,4086968613,-707589815707500.0738
resolve,59,3027745951,
dispute,10,938963366,
resolve,90,1035551299,
resolve,77,4044932722,
withdrawal,4,954194099,-109291001359861.0060
dispute,75,2032516826,
withdrawal,58,2706359046,705364577400001.4124
resolve,53,1757452885,
withdrawal,79,3852581242,528160082790712.9794
withdrawal,39,405827529,-890849803647331.8306
resolve,82,1566242016,
withdrawal,33,2392030416,129437810769854.8024
withdrawal,83,2122376384,-873186074837586.7516
withdrawal,36,2320042740,-255583256031050.0732
withdrawal,11,156797667,-482592207986629.2198
withdrawal,62,2639541667,66359629321959.0810
withdrawal,71,892678598,-187530215107546.6240
withdrawal,0,1987191833,-769580992604415.9633
resolve,58,1304925155,
deposit,61,431740071,-906276281133946.1821
dispute,37,2427229779,
withdrawal,92,629466305,453167013812422.6391
deposit,98,1371430048,711507591809333.7524
withdrawal,95,248150510,756286204134705.1802
resolve,3,2690575711,
withdrawal,56,67538353,848516690325944.9781
resolve,9,2217407333,
resolve,85,316752978,
dispute,40,3102246946,
withdrawal,25,3664818607,10084419970422.9428
deposit,54,1480354547,427621148034965.0991
resolve,54,2558346462,
withdrawal,62,2614824665,880661591940926.7829
withdrawal,21,2410877488,618630429016490.7228
dispute,80,3754181728,
withdrawal,5,305078438,786328050004118.8440
dispute,48,3536158084,
deposit,7,249765887,126006359139984.6033
resolve,3,3573194655,
withdrawal,9,2746466855,-501005355756340.2471
resolve,82,179442208,
resolve,20,4008591440,
resolve,21,4052729388,
resolve,70,2833323171,
withdrawal,91,1325777532,-460675179173882.1922
dispute,87,4111048231,
withdrawal,37,132612182,750850746750705.8021
withdrawal,23,4096978248,140345421651664.8380
deposit,42,4250918527,487962448026901.9941
resolve,95,3563989132,
resolve,89,2598396619,
resolve,16,4194925433,
deposit,69,2985658891,-619644996756061.0776
withdrawal,79,772489761,-754586515226424.2150
withdrawal,63,3384526636,687213080383866.0644
deposit,66,255832202,-778043474665056.1632
resolve,43,4235908980,
withdrawal,0,2529218365,687484467020881.5784
deposit,50,1475582636,67974474620267.0598
dispute,40,2062958553,
resolve,61,2441010284,
deposit,74,362895240,-725117784834017.6062
dispute,20,1106778079,
deposit,46,590444049,253720804754779.6668
resolve,50,3378486885,
dispute,1,3391741859,
dispute,61,3127962503,
withdrawal,10,131997782,832992954388962.1660
resolve,49,627989302,
withdrawal,22,434645625,-500741662517866.4914
dispute,82,2724988347,
withdrawal,27,4265790430,-473655453483170.2702
dispute,25,1164681491,
deposit,25,2361817423,-489989122776934.1555
withdrawal,68,2142145228,289907039577693.2356
withdrawal,98,3748827035,851282864973944.4267
dispute,6,1828515254,
dispute,72,495700267,
dispute,25,139192399,
withdrawal,3,4089191502,357590016890647.3618
dispute,85,2083874638,
withdrawal,56,2806464528,522850693677546.9745
resolve,53,3389890908,
dispute,92,1968900070,
deposit,15,2637791636,871221140105767.6112
resolve,54,815081795,
dispute,46,2412062161,
withdrawal,51,1548845611,-289065521479044.5755
deposit,60,143917332,-871046093820719.7383
resolve,26,3625886426,
withdrawal,74,2400287116,387012976463158.1060
withdrawal,19,890328942,61393737137896.2094
dispute,62,2008230766,
deposit,23,2628764406,-229353261084814.6351
dispute,92,1543951359,
deposit,74,675891779,-366365423744410.8153
resolve,59,874310061,
withdrawal,26,382221184,387985820521060.4029
resolve,84,1778260814,
deposit,80,390005514,897424609616214.8017
dispute,16,1331146558,
withdrawal,84,3880253289,686841411673134.6774
resolve,12,820759726,
dispute,36,3083092321,
resolve,50,2955027730,
dispute,18,1585311155,
withdrawal,42,3019480477,517760248759490.2876
withdrawal,17,365677723,610628559463573.5087
dispute,68,1612520082,
resolve,27,130937402,
withdrawal,45,3029810412,252678804310218.8717
resolve,5,2943518282,
dispute,24,29247849,
withdrawal,23,3114746135,-391931683124470.9033
dispute,10,2335968893,
withdrawal,44,4057470275,758495325805933.7370
withdrawal,42,2692791596,646563659491574.3509
dispute,2,381696521,
deposit,81,2028289821,-30643688109234.6659
deposit,95,386004014,-485083358377403.8580
resolve,75,4001946293,
resolve,60,364155440,
withdrawal,6,1749548840,764319711685057.7981
withdrawal,93,688499095,-97873330073113.1294
resolve,27,1924054498,
withdrawal,68,3855793630,553955022453208.1532
dispute,81,1411159182,
withdrawal,85,4163022749,-234512788728145.0135
dispute,62,985416612,
resolve,90,1653605026,
dispute,84,1403621690,
deposit,36,3638268196,311488587604836.8224
dispute,79,1855705060,
resolve,32,1302642082,
withdrawal,70,2973405187,236210839820336.7973
withdrawal,56,931500096,-569862456949079.3560
dispute,84,3875363615,
withdrawal,7,2088321748,-464287252239702.1064
deposit,42,183185185,-291276177854536.1486
deposit,45,1405412144,-147848480475291.0165
deposit,76,2954907211,-163301574039347.6860
dispute,36,3498651428,
dispute,18,2940688727,
resolve,86,2689231561,
deposit,87,501905839,80004865322530.0930
deposit,3,2994521199,269887901486895.4864
resolve,35,58154240,
deposit,83,3350154625,624692946084451.8514
withdrawal,46,2312294733,213567297043602.9982
deposit,60,2508056389,203765426273717.4328
dispute,63,1782599029,
deposit,17,3494343032,-210693064654506.1174
dispute,90,2147537177,
resolve,30,881234800,
dispute,77,3677234887,
resolve,76,3918826559,
resolve,33,3058779087,
dispute,22,68655902,
resolve,11,1586419015,
deposit,58,2792979964,-588292944354532.4764
deposit,69,415480294,-595052605619078.0968
resolve,15,3070682078,
resolve,4,1223613821,
withdrawal,51,2653465549,-717718335876640.7765
dispute,29,3324487758,
resolve,23,239560650,
dispute,27,760842198,
deposit,28,3907858673,-128245224237335.4283
deposit,22,2376502390,-209550669772769.5822
resolve,76,2228856058,
dispute,88,2526224392,
resolve,22,3932556284,
deposit,23,2765404880,-921146862371014.1759
dispute,34,263899904,
deposit,69,414134809,308220844802104.2889
deposit,6,1880996323,-918502371730819.7986
resolve,18,1913549979,
withdrawal,86,3554462209,-370129039497451.2605
dispute,88,4176627820,
withdrawal,96,1981240559,-531801876511614.1928
dispute,80,2461786895,
resolve,55,865630093,
dispute,5,3943550143,
resolve,81,269261607,
resolve,78,135685244,
resolve,79,3750948479,
withdrawal,84,2152994686,-103992065480600.0450
resolve,1,4055975890,
withdrawal,6,3449627410,556085529046799.3988
resolve,57,1634430260,
deposit,6,1067302543,-628580848092296.8746
withdrawal,58,480318430,547511044473882.2207
deposit,82,2081726185,679726973208199.3507
dispute,14,342931626,
resolve,89,3904499668,
resolve,68,1973807860,
withdrawal,85,26585970,40064752614750.6853
resolve,29,2562345698,
dispute,1,3670714753,
withdrawal,87,1305993816,402340118823552.0168
resolve,3,3856365999,
dispute,77,1071452715,
deposit,69,1830602189,-347810757905776.8662
withdrawal,78,109199491,-47172376606710.5580
deposit,53,2777833693,-440710351934101.0525
resolve,90,3787334176,
dispute,18,3359668956,
withdrawal,14,2731214715,196441807861641.9674
resolve,97,2161022665,
withdrawal,64,2051802198,-852997220373359.9119
dispute,86,1966543328,
withdrawal,15,1455138396,119492963358090.9910
resolve,45,2740764684,
resolve,15,117687323,
deposit,6,3534786258,636401125173886.9966
deposit,7,3438639162,272446556464128.3255
withdrawal,28,2261064174,-769765831672123.6488
resolve,3,1007361557,
resolve,29,2467145547,
resolve,60,524921102,
dispute,36,677184189,
deposit,93,3550051103,537282562659487.2949
deposit,83,612880526,-248322721306337.3420
deposit,77,1032400892,897278405342399.8651
deposit,11,154274916,-154830831583.4547
deposit,39,2145703072,-555842632075625.6459
deposit,55,1230485211,-113919957463481.3827
dispute,25,4212227037,
withdrawal,12,2270389612,-196694829478295.3032
withdrawal,30,1793452518,-727913685138440.1732
dispute,58,2159683552,
withdrawal,85,3631545368,440482930351350.8037
dispute,0,3932838770,
dispute,12,4267503200,
withdrawal,36,353868031,696248425139180.6819
deposit,52,3218450991,736980673761519.1486
resolve,80,2696030838,
deposit,79,155811311,-862023719813889.2530
resolve,59,2631694918,
withdrawal,20,4192821145,341516647816630.4303
withdrawal,15,812104170,-535103499514773.5208
deposit,74,544318953,-187489547707785.9647
resolve,23,3574635157,
withdrawal,30,2069978077,462664135140509.2201
deposit,42,3440331762,-668824095695691.1807
withdrawal,62,2017998744,-18541736564347.2170
withdrawal,5,2791278016,598196832001614.4393
resolve,57,447357249,
dispute,22,3409252019,
resolve,90,34740057,
dispute,42,873669722,
withdrawal,21,4009849596,-644504733939392.6850
dispute,48,3597985439,
deposit,27,2471901673,151288215160579.9431
dispute,88,52997096,
dispute,78,3668142954,
deposit,47,141142675,-336481230137283.3512
withdrawal,8,1509315527,-153046890962596.6446
withdrawal,87,1193533433,-742405824832671.2461
deposit,1,2388073174,181520394728052.3672
resolve,73,2187026892,
withdrawal,58,3397429583,-92944191821496.1043
resolve,97,440699413,
deposit,69,1535680139,403230787159563.5485
resolve,8,125892154,
resolve,34,1460002754,
deposit,68,922936115,-224890850449961.0364
resolve,90,1603286412,
withdrawal,57,2274879447,89401416904754.4646
resolve,20,4188612822,
dispute,58,21675992,
dispute,94,1072336917,
withdrawal,20,2460453920,163151992065020.3009
withdrawal,90,272627753,401414242386882.9264
resolve,60,4083018612,
deposit,24,2387933199,903426236829093.2037
deposit,13,679501608,674214996531739.9660
dispute,27,3543807290,
withdrawal,74,3419901677,763418980100978.9707
deposit,98,4112935369,-359087340093795.7093
withdrawal,67,522194120,35023818858805.6811
dispute,94,1537752786,
dispute,31,523762717,
withdrawal,17,2365294731,44280661491105.8977
resolve,11,3350952957,
resolve,9,200989985,
withdrawal,45,3787781963,874412243297527.2622
deposit,1,3744361931,189017721701869.1337
deposit,35,100601353,-176419760073727.8691
deposit,38,3373043212,-379441183666460.5731
resolve,4,4043870703,
deposit,36,2195707934,-413223116527645.2849
withdrawal,11,4192569875,-231072067515780.8310
deposit,44,2243209973,147568341656540.9682
deposit,20,3943130196,635005342033124.8245
resolve,32,1181506272,
deposit,56,2755405115,680131866523467.2581
dispute,26,1862876684,
withdrawal,16,705725381,-876160916135459.9295
dispute,29,4254450453,
resolve,39,1417759742,
dispute,49,319467996,
withdrawal,96,3319012403,576830859887773.9018
deposit,18,2751714079,295860720535312.5763
dispute,50,3993997316,
withdrawal,56,116816813,-96780478858665.3488
deposit,95,2953286119,468637747506311.2028
dispute,44,1041213074,
deposit,32,1883122274,406287516662149.3343
deposit,72,170702284,-34546125555583.2741
dispute,60,1240789067,
withdrawal,34,3788935165,-13795096829721.8890
dispute,14,861484588,
dispute,22,3293040112,
deposit,43,2023549673,-833018912787060.7674
dispute,57,652380070,
resolve,39,207295080,
deposit,3,2959479467,-480167874430580.4110
resolve,70,47556935,
resolve,51,477005031,
dispute,48,1636326497,
resolve,74,3471450175,
dispute,55,1113612790,
resolve,94,3895323262,
resolve,42,3255262312,
deposit,3,458571168,102844209176875.5092
withdrawal,15,1717269708,-348870073760715.5055
withdrawal,14,4066742759,909434448595503.5581
deposit,24,957211438,434275087644814.3759
resolve,68,3640901683,
dispute,66,3188203088,
deposit,87,279664,829558656258203.5490
dispute,95,801488304,
resolve,12,3692227786,
withdrawal,82,1253466265,-310443691353818.6632
deposit,75,261041355,661874362564370.1503
deposit,21,965883732,324754030902664.0421
resolve,48,2817797851,
dispute,59,4015245903,
resolve,50,585666842,
dispute,0,497128726,
withdrawal,76,3541950879,530790484447717.2987
resolve,99,987830620,
withdrawal,37,2530003958,-305766699976924.1422
withdrawal,66,650946319,23452674311131.9037
deposit,71,1733088493,-506555422762838.8088
dispute,12,3921397176,
withdrawal,67,832985592,-106895586735548.5269
deposit,1,1072189488,215812156580419.2256
deposit,28,126372702,-69028316338091.0861
deposit,28,370728581,-513278558701910.2698
deposit,12,2994794976,-495630996359263.5599
withdrawal,87,313437298,858153920231763.1938
deposit,77,2702105331,221969812451923.8023
dispute,91,353246451,
dispute,4,2952349374,
withdrawal,26,4068959014,-151164515265517.3394
deposit,21,3820301356,-889544167902452.4840
resolve,17,1840760294,
withdrawal,29,1103464643,658088811727206.5785
dispute,26,3980485145,
dispute,79,256002434,
resolve,93,3479155339,
resolve,3,1748892220,
dispute,22,1405391678,
resolve,4,3342745648,
withdrawal,68,3573488891,-109286312549920.6563
withdrawal,31,1535117461,131263804392953.1991
withdrawal,10,2086391390,59322724210140.4363
withdrawal,92,3690657668,-389004191033882.8386
dispute,24,1015351699,
withdrawal,63,3727635221,283449292761831.8005
withdrawal,20,2497201501,-816944282141357.0487
resolve,2,1639271175,
resolve,98,284338415,
deposit,2,1840928743,825949844529229.3443
withdrawal,93,2462793153,119536660713802.7509
dispute,65,1195032537,
withdrawal,87,1700176644,-298405270793818.4911
resolve,30,4130770187,
withdrawal,90,2056938672,-628510345422241.5425
deposit,68,634496911,-860880216533594.3217
deposit,75,1320038689,317005542792193.6074
deposit,93,3161086437,358734850744930.9991
withdrawal,94,287641608,-642914682470370.1195
dispute,38,2457116199,
deposit,14,2683890594,-696944275093644.7086
dispute,11,838169584,
resolve,25,618963408,
deposit,72,852728241,-722326051903257.3280
resolve,79,1169631043,
resolve,40,2872431240,
dispute,55,3219322762,
deposit,37,1286732373,653756520467897.0343
withdrawal,62,1737389238,-643903135047530.8690
resolve,17,669549067,
withdrawal,72,2800289761,-705413032081116.5579
dispute,43,4256656462,
resolve,59,1784354658,
dispute,20,2581767119,
resolve,83,3906006902,
deposit,35,447728503,-40440604722071.5608
dispute,80,96680039,
withdrawal,88,3544459287,-156164536653741.3203
withdrawal,78,2849260871,240412613251328.4025
dispute,96,4040667155,
deposit,31,1852936742,-606836517207787.4078
deposit,71,2832667146,493941886700451.5300
withdrawal,75,2132571971,602010631830958.5913
withdrawal,80,54391363,887243233012759.5429
withdrawal,1,1546455799,566754530491.6208
withdrawal,80,2228502256,535877607255003.4326
deposit,38,4293546886,-784683868416558.5747
deposit,52,3239128010,549012748926609.0887
withdrawal,28,1144479029,525203535888021.4896
withdrawal,72,3627247970,778266948635473.7790
deposit,61,3675188257,537222762999485.3564
resolve,44,1256426062,
deposit,88,2193884488,-178994582033413.5840
dispute,22,730119215,
resolve,45,552090370,
dispute,33,2205785667,
deposit,84,3261295606,904181070707567.4623
dispute,26,3552607949,
deposit,41,2059499882,-820918832192379.8729
deposit,52,504539451,-528559323533784.7981
deposit,33,367814829,-879193482535604.2824
resolve,86,773541619,
deposit,37,324479263,563601153998299.7242
dispute,79,413964735,
deposit,60,2669411405,-285982309352123.9187
deposit,99,2449236861,-723608166172287.3403
resolve,50,3755086701,
deposit,86,873899309,368594990984308.8563
resolve,75,2938255947,
resolve,17,3071626721,
dispute,84,2977350452,
deposit,56,3115922278,35925989800748.1998
dispute,46,3210572050,
deposit,64,290000644,856375900090114.0748
dispute,88,4198359629,
withdrawal,32,3694660822,298001839231712.6802
resolve,49,1459949395,
dispute,35,2549470270,
deposit,82,4177718221,-569439810275049.0183
deposit,39,877170841,-30083960010584.2801
withdrawal,38,2742484987,35160180862112.4312
deposit,47,2905339600,323555382565151.8584
dispute,88,1937808244,
resolve,73,1962309929,
dispute,37,2091476849,
dispute,4,739536948,
dispute,46,749847658,
deposit,98,19534670,-356889588697446.3533
deposit,43,955955223,-134777164495191.8558
dispute,75,1444421890,
withdrawal,40,2961851728,328332920012876.8389
withdrawal,55,2810547059,-314180769133133.3087
withdrawal,31,2401142884,-785649630196677.5690
deposit,75,1610198713,-458047470939493.6008
dispute,94,641239030,
deposit,23,2963439899,-178923548109708.9595
dispute,15,1824852832,
dispute,71,3072488831,
dispute,12,1209003091,
dispute,19,3638775839,
deposit,68,3544864235,-641481683726897.7898
resolve,8,1498272754,
withdrawal,0,1347283084,-899631315595621.1986
deposit,33,2107903067,-497751276812134.7402
withdrawal,68,1199945271,246041912554690.8516
deposit,14,479722303,222038373608056.9444
dispute,17,2524067909,
resolve,36,4006473997,
withdrawal,86,4265177177,823532437572741.8671
resolve,13,1793716349,
dispute,16,2596155748,
withdrawal,23,2589191216,618814220311679.2330
dispute,95,2356174384,
dispute,47,1332175975,
deposit,65,545886377,472929746702308.3091
withdrawal,47,246572020,-441540616368318.8913
dispute,58,2878820517,
dispute,41,50197325,
deposit,2,91862889,-855027694678252.7937
resolve,99,3542516659,
dispute,35,3556382777,
resolve,65,4165746298,
withdrawal,53,47853656,-784946013007278.8076
withdrawal,61,3386949169,69102903921069.2132
resolve,53,3160498967,
deposit,4,1227672587,-486956890616168.0827
deposit,37,3732101530,-729872152161693.2666
resolve,35,413968243,
dispute,3,3038062613,
resolve,64,672996280,
dispute,12,1449795267,
dispute,11,490217304,
withdrawal,49,3365569981,460451915143506.1687
deposit,30,1180461765,-85467736128554.2659
deposit,84,212021427,-789348124927110.7770
withdrawal,41,3759840577,-700407682225185.5283
dispute,38,3687859600,
withdrawal,26,1881396172,-391585617525931.2233
dispute,66,2768094708,
withdrawal,28,3437597870,527597094178450.4906
deposit,58,1195155101,-314279032521206.3609
resolve,45,2488582629,
resolve,54,1890585426,
dispute,77,3581376121,
withdrawal,2,395386444,-390191352458489.1113
resolve,82,3100912236,
deposit,72,526283325,904264745961631.1541
withdrawal,18,4107719119,277783882065319.9124
resolve,33,1909563709,
withdrawal,6,2857191763,-813464053609540.9422
dispute,74,3083349500,
dispute,76,2875723048,
resolve,94,1724233837,
withdrawal,52,2928304068,453373187024383.6815
deposit,18,2733383256,4009626875522.1403
withdrawal,85,4243654142,234975477250956.0547
dispute,23,3954108104,
withdrawal,16,2108332765,434793483252786.9697
deposit,59,2271213663,-597034158357653.3235
dispute,86,3114639096,
withdrawal,58,1337372755,61724108289631.0370
deposit,13,3325259536,-362444175976592.9081
resolve,66,4040116555,
withdrawal,3,2791585504,-453744239353518.9734
dispute,16,904968735,
resolve,60,4074705918,
deposit,99,1545342150,440409022575291.0343
resolve,5,3154611813,
resolve,56,1494661091,
dispute,41,2599127438,
dispute,11,2131699322,
withdrawal,27,1089339976,-16848592962848.7672
withdrawal,26,911415133,-749413586919231.8604
resolve,84,2413788163,
resolve,11,3799234132,
dispute,68,1654965085,
dispute,89,3029281187,
dispute,61,3773723557,
deposit,5,1762965021,-914835275648061.4893
resolve,27,101712575,
resolve,59,1967023967,
dispute,78,1522130912,
deposit,18,2976519581,303724412968290.7519
resolve,19,39650534,
withdrawal,31,418288873,678645766299367.9132
deposit,3,418080252,-157404649574396.7179
deposit,85,3640005196,-812687139115493.7491
dispute,29,2653624109,
resolve,66,3387414984,
resolve,18,566887509,
deposit,97,4276416359,-617126278394596.0997
resolve,96,4100768066,
dispute,99,1776242840,
deposit,30,3839929642,-332537633826561.9819
resolve,92,1627928842,
withdrawal,96,1930598581,-132998476185328.3347
deposit,15,603836121,-653661216020268.9586
deposit,77,1273516745,366239124667256.0797
resolve,97,1944188902,
withdrawal,34,3373547942,-396584073379756.9358
withdrawal,6,2898181797,644331139578698.8714
resolve,0,3224612560,
deposit,39,4233655777,557407853354528.7492
dispute,40,3828420935,
resolve,88,4124348350,
withdrawal,80,2732948939,205425284047813.5154
resolve,29,3178581719,
withdrawal,87,738211075,841901072842779.3243
dispute,35,2299794731,
deposit,70,1229093551,671631874770754.2456
deposit,53,3716379961,-79525065850644.4887
withdrawal,21,601392148,697595447503364.7612
deposit,39,3981107192,-30016328653770.8387
resolve,51,2035008956,
dispute,47,843683712,
withdrawal,66,4263332610,-414506564389875.3868
withdrawal,66,2152777654,-837907243744283.0730
dispute,21,89259077,
resolve,11,3596446008,
resolve,33,3046782738,
withdrawal,92,2641974883,690039583319520.4939
dispute,64,3032757857,
withdrawal,44,2550825947,229309355612449.6497
deposit,18,1830854930,361007326462714.6386
withdrawal,48,3608819597,-68501226634996.8467
dispute,4,1821656880,
deposit,48,922671149,917433437137633.9563
dispute,24,2813418173,
dispute,38,3246977020,
deposit,5,1046186034,-212078736499767.6192
resolve,95,505182150,
deposit,20,3248277504,-767149474260223.1929
dispute,55,3200368271,
resolve,81,2931369363,
resolve,62,1025603441,
deposit,65,2126812862,44173123198365.7398
dispute,14,593677302,
dispute,53,244931033,
deposit,3,2600584108,364839202945977.6558
dispute,74,3551330827,
dispute,47,209011716,
withdrawal,88,4181206439,-850952947032016.9928
resolve,13,358180740,
deposit,47,634942431,-59406170988264.5552
withdrawal,80,977163524,-283527699490077.9132
resolve,91,262459909,
dispute,67,257005309,
withdrawal,59,700494886,-596291696965904.7375
withdrawal,66,1926510635,-637741940279883.3170
dispute,32,3732725275,
deposit,23,3690666521,-815014729896480.3742
deposit,45,1822249482,-221377649353673.5588
resolve,61,3700670693,
withdrawal,29,3895259509,-793805605341609.5812
withdrawal,1,1256011126,-794283435745870.7100
resolve,35,1235612018,
resolve,81,2469214726,
withdrawal,32,1255747119,-393675546143923.3761
dispute,28,1758299286,
deposit,18,2296656384,-845856174551017.3982
dispute,53,2484235619,
withdrawal,52,3275099103,231467064237066.7696
deposit,39,3674715472,549737240145565.8157
deposit,72,1359389110,271001627348949.0483
deposit,39,1369613749,254743829739389.2271
withdrawal,86,2227255374,314247382022617.7357
dispute,42,2358069619,
resolve,6,2040087090,
withdrawal,84,900473778,-854092201301264.5466
withdrawal,52,2927647514,-434928429615932.6784
dispute,3,485395783,
resolve,44,1370818580,
deposit,77,1421586557,-443189537264325.0206
withdrawal,98,2029180124,-566682570380717.6676
dispute,59,3992558314,
dispute,56,295005849,
withdrawal,27,1129356803,-377258601834604.8603
deposit,25,72241423,218859913899964.5185
withdrawal,10,3611246468,14550487034038.4402
resolve,16,69564211,
deposit,80,2398322704,-674182129565280.2731
withdrawal,40,2939819477,15316282151390.2028
withdrawal,72,450931093,814858611339319.4336
deposit,21,3899861800,297010178234408.2889
resolve,77,132267015,
deposit,16,3216694061,-112630784396341.2422
deposit,96,2936810429,129969577611247.1232
resolve,61,1260358175,
dispute,85,4010682990,
resolve,79,2167163460,
deposit,1,1116737464,-216772436969154.0908
resolve,36,546102753,
withdrawal,44,3006261396,193301469663585.8622
deposit,68,1002081833,810178130293986.8454
dispute,23,1617066146,
deposit,29,412595500,62953798650978.6402
dispute,90,978830129,
withdrawal,72,274032985,720321100816742.1448
withdrawal,4,3477518897,619307788194404.7874
dispute,84,4085602499,
deposit,26,411217752,622474439750033.1744
dispute,95,2319743590,
dispute,92,1162659993,
dispute,10,111582397,
dispute,78,2401995510,
withdrawal,94,2996201739,388989083932712.9052
resolve,55,3423486357,
dispute,30,2105977184,
withdrawal,59,4103960506,186227273790121.1140
resolve,49,1623881795,
withdrawal,42,3391729441,-384121221927875.2552
dispute,42,782878199,
dispute,53,254299268,
withdrawal,37,1274607115,-557855850988238.0378
deposit,4,1380154973,-730014536131718.4189
withdrawal,18,3692277769,-487487015903909.2471
withdrawal,13,2380156305,358790307691625.5399
withdrawal,50,3307081477,761340530532611.3677
resolve,82,3442947897,
withdrawal,85,648598852,-812076422677842.9642
resolve,27,3475910642,
dispute,21,2742963186,
withdrawal,69,2039337737,104690798961302.3798
withdrawal,87,2951957571,307046727981198.5777
resolve,78,2123145657,
dispute,15,1890014247,
resolve,71,2589891006,
dispute,8,2214114174,
deposit,13,2814301025,-562911072118848.3433
resolve,93,2594130157,
resolve,48,20590516,
resolve,66,2958914579,
deposit,20,1194257258,-888016673955279.1774
resolve,37,1513740361,
deposit,10,1259766563,-289580185267134.1617
dispute,78,2951742372,
deposit,71,2511749760,-655507069096420.2997
withdrawal,18,3998914172,-407820502919379.7786
withdrawal,98,1686262368,-131466003423655.9613
resolve,70,3989760363,
deposit,72,3700901138,146714141016191.2595
withdrawal,57,3389818214,-196173622599.9479
deposit,22,1863680016,798878465913026.6395
resolve,94,2468277882,
resolve,15,130265116,
dispute,62,2925043987,
withdrawal,64,1314007079,617095295495064.8540
resolve,63,643736539,
deposit,18,3956628976,-563418931269376.7778
deposit,75,760441119,861529623533952.7291
withdrawal,43,3634248941,588355404239657.9432
deposit,93,3239916095,181873276532517.7112
deposit,73,4196104856,-921823474666231.5904
deposit,1,2503042116,721597058436825.6802
dispute,21,1381715595,
withdrawal,76,65075257,128360020572417.5311
dispute,92,3217288096,
dispute,77,2592526729,
deposit,52,3677877685,-231464476831309.9860
deposit,6,2991170554,-138628002902959.8609
deposit,49,996068817,-805893222923082.2825
resolve,12,3416624659,
deposit,4,4047428802,-642473699393768.0635
withdrawal,76,3816392605,12960329027999.0904
resolve,6,2801341841,
deposit,58,436544687,227632355425995.3037
resolve,22,341912154,
resolve,39,2654656358,
withdrawal,77,2964277237,-783178635613935.6426
dispute,57,4105287832,
resolve,67,3171135091,
deposit,63,2480050353,-586535385824725.6954
deposit,35,1992910081,764354290795964.6933
resolve,12,2177664654,
resolve,80,3982487969,
resolve,91,1149900873,
withdrawal,5,3139874193,365072410076034.0803
deposit,85,569388979,431958569709162.1977
dispute,52,1774810618,
deposit,7,1686443676,699100371658272.4781
deposit,50,2690385615,-353013071113925.3917
dispute,79,2519005302,
dispute,24,2453550523,
resolve,56,1787544281,
resolve,58,4237470588,
deposit,55,848891269,289401269475927.6306
deposit,83,3106629331,-345192677524153.5467
deposit,61,1902920748,360246363686488.2530
deposit,6,1177739464,314906789788236.8962
deposit,17,2902636857,718801880289238.6783
withdrawal,16,2137580320,-818249397744464.6837
deposit,3,2777220213,564451895725645.5014
dispute,55,2674427472,
deposit,59,83769330,782066367777230.6510
dispute,31,3947204522,
withdrawal,81,3835669066,-408639165676901.5974
dispute,1,201461740,
deposit,81,435663949,-21888939755485.1683
deposit,87,2501095312,182714802562290.7466
deposit,9,1188253662,878984547001946.8366
deposit,52,657506197,-582784316736580.1020
resolve,66,1660048188,
withdrawal,27,3644455854,-194271095082762.0307
dispute,69,535667809,
deposit,65,1436987899,-593454683078684.1548
dispute,34,1491690620,
dispute,54,870917423,
deposit,8,680375075,894722023287353.0395
deposit,24,2598151566,-354031315224110.2802
dispute,13,2400057243,
withdrawal,59,3059431045,720230899393349.0204
dispute,80,1037511279,
withdrawal,40,1055108706,-407104306875146.5892
resolve,81,132745419,
withdrawal,99,3334522297,-88305101550439.1288
dispute,82,4285398121,
resolve,69,1010439577,
dispute,84,946257503,
resolve,68,871731143,
withdrawal,74,277573643,-442313541350063.0742
dispute,39,3070429709,
withdrawal,55,3066622194,639312160738240.8022
dispute,16,476420938,
deposit,87,1387341251,-388647073531548.6442
withdrawal,63,1392298924,-897836711750558.8047
dispute,75,2333265877,
deposit,88,3696381602,899267439590155.6562
resolve,59,3365219734,
dispute,62,3114318978,
withdrawal,11,978945753,-858765833839092.5773
resolve,73,3813319383,
resolve,48,1548616180,
resolve,24,704518539,
deposit,10,2307436363,-230743150116136.1434
resolve,13,4196074740,
deposit,66,1542861544,763349912847775.1523
